Ensembl Gene ID	Description	MGI symbol
ENSMUSG00000081903	predicted gene 11387 [Source:MGI Symbol;Acc:MGI:3649582]	Gm11387
ENSMUSG00000021188	thyroid hormone receptor interactor 11 [Source:MGI Symbol;Acc:MGI:1924393]	Trip11
ENSMUSG00000021314	amphiphysin [Source:MGI Symbol;Acc:MGI:103574]	Amph
ENSMUSG00000074678	defensin beta 25 [Source:MGI Symbol;Acc:MGI:3651158]	Defb25
ENSMUSG00000055210	forkhead box D2 [Source:MGI Symbol;Acc:MGI:1347471]	Foxd2
ENSMUSG00000040040	intraflagellar transport 88 [Source:MGI Symbol;Acc:MGI:98715]	Ift88
ENSMUSG00000026930	G-protein signalling modulator 1 (AGS3-like, C. elegans) [Source:MGI Symbol;Acc:MGI:1915089]	Gpsm1
ENSMUSG00000036099	vezatin, adherens junctions transmembrane protein [Source:MGI Symbol;Acc:MGI:2143698]	Vezt
ENSMUSG00000081288	predicted gene 11386 [Source:MGI Symbol;Acc:MGI:3649585]	Gm11386
ENSMUSG00000067341	histocompatibility 2, class II antigen E beta2 [Source:MGI Symbol;Acc:MGI:95902]	H2-Eb2
ENSMUSG00000082722	predicted gene 11393 [Source:MGI Symbol;Acc:MGI:3649834]	Gm11393
ENSMUSG00000039842	microcephaly, primary autosomal recessive 1 [Source:MGI Symbol;Acc:MGI:2443308]	Mcph1
ENSMUSG00000044518	forkhead box E3 [Source:MGI Symbol;Acc:MGI:1353569]	Foxe3
ENSMUSG00000049571	RIKEN cDNA 9330101J02 gene [Source:MGI Symbol;Acc:MGI:2444387]	9330101J02Rik
ENSMUSG00000029195	klotho beta [Source:MGI Symbol;Acc:MGI:1932466]	Klb
ENSMUSG00000062083	ribosomal protein 13A, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3648883]	Rpl13a-ps1
ENSMUSG00000005952	transient receptor potential cation channel, subfamily V, member 1 [Source:MGI Symbol;Acc:MGI:1341787]	Trpv1
ENSMUSG00000032380	death-associated protein kinase 2 [Source:MGI Symbol;Acc:MGI:1341297]	Dapk2
ENSMUSG00000074646	RIKEN cDNA 6430550D23 gene [Source:MGI Symbol;Acc:MGI:2443361]	6430550D23Rik
ENSMUSG00000035270	interphotoreceptor matrix proteoglycan 2 [Source:MGI Symbol;Acc:MGI:3044955]	Impg2
ENSMUSG00000027568	neurotensin receptor 1 [Source:MGI Symbol;Acc:MGI:97386]	Ntsr1
ENSMUSG00000028719	cytidine monophosphate (UMP-CMP) kinase 1 [Source:MGI Symbol;Acc:MGI:1913838]	Cmpk1
ENSMUSG00000052915	male-specific lethal 1 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1921276]	Msl1
ENSMUSG00000037275	gem (nuclear organelle) associated protein 5 [Source:MGI Symbol;Acc:MGI:2449311]	Gemin5
ENSMUSG00000038994	histone H1-like protein in spermatids 1 [Source:MGI Symbol;Acc:MGI:2136691]	Hils1
ENSMUSG00000024340	butyrophilin-like 2 [Source:MGI Symbol;Acc:MGI:1859549]	Btnl2
ENSMUSG00000006649	nephrosis 1 homolog, nephrin (human) [Source:MGI Symbol;Acc:MGI:1859637]	Nphs1
ENSMUSG00000094929	predicted gene 3526 [Source:MGI Symbol;Acc:MGI:3781703]	Gm3526
ENSMUSG00000045007	tubulin, gamma 2 [Source:MGI Symbol;Acc:MGI:2144208]	Tubg2
ENSMUSG00000037627	regulator of G-protein signalling 22 [Source:MGI Symbol;Acc:MGI:3613651]	Rgs22
ENSMUSG00000096023	predicted gene 3542 [Source:MGI Symbol;Acc:MGI:3781719]	Gm3542
ENSMUSG00000000359	rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]	Rem1
ENSMUSG00000091006	vomeronasal 2, receptor 69 [Source:MGI Symbol;Acc:MGI:3761311]	Vmn2r69
ENSMUSG00000032306	mannose phosphate isomerase [Source:MGI Symbol;Acc:MGI:97075]	Mpi
ENSMUSG00000018974	squamous cell carcinoma antigen recognized by T cells 3 [Source:MGI Symbol;Acc:MGI:1858230]	Sart3
ENSMUSG00000038976	protein phosphatase 1, regulatory subunit 9B [Source:MGI Symbol;Acc:MGI:2387581]	Ppp1r9b
ENSMUSG00000043531	VPS10 domain receptor protein SORCS 1 [Source:MGI Symbol;Acc:MGI:1929666]	Sorcs1
ENSMUSG00000090806	vomeronasal 2, receptor 70 [Source:MGI Symbol;Acc:MGI:3761314]	Vmn2r70
ENSMUSG00000071149	taste receptor, type 2, member 115 [Source:MGI Symbol;Acc:MGI:2681223]	Tas2r115
ENSMUSG00000030838	Usher syndrome 1C [Source:MGI Symbol;Acc:MGI:1919338]	Ush1c
ENSMUSG00000086103	predicted gene 11832 [Source:MGI Symbol;Acc:MGI:3650310]	Gm11832
ENSMUSG00000033837	forkhead box H1 [Source:MGI Symbol;Acc:MGI:1347465]	Foxh1
ENSMUSG00000060412	taste receptor, type 2, member 124 [Source:MGI Symbol;Acc:MGI:2681267]	Tas2r124
ENSMUSG00000062638	butyrophilin-like 1 [Source:MGI Symbol;Acc:MGI:1932027]	Btnl1
ENSMUSG00000046032	sorting nexin 12 [Source:MGI Symbol;Acc:MGI:1919331]	Snx12
ENSMUSG00000056901	taste receptor, type 2, member 102 [Source:MGI Symbol;Acc:MGI:2681171]	Tas2r102
ENSMUSG00000091205	vomeronasal 2, receptor 71 [Source:MGI Symbol;Acc:MGI:3646472]	Vmn2r71
ENSMUSG00000084046	predicted gene 11833 [Source:MGI Symbol;Acc:MGI:3650311]	Gm11833
ENSMUSG00000026270	calpain 10 [Source:MGI Symbol;Acc:MGI:1344392]	Capn10
ENSMUSG00000049904	transmembrane protein 17 [Source:MGI Symbol;Acc:MGI:2144205]	Tmem17
ENSMUSG00000049734	three prime repair exonuclease 1 [Source:MGI Symbol;Acc:MGI:1328317]	Trex1
ENSMUSG00000091620	vomeronasal 2, receptor 23 [Source:MGI Symbol;Acc:MGI:3646826]	Vmn2r23
ENSMUSG00000083042	predicted gene 11388 [Source:MGI Symbol;Acc:MGI:3649831]	Gm11388
ENSMUSG00000053217	taste receptor, type 2, member 136 [Source:MGI Symbol;Acc:MGI:2681304]	Tas2r136
ENSMUSG00000082986	predicted gene 11389 [Source:MGI Symbol;Acc:MGI:3649830]	Gm11389
ENSMUSG00000097202		
ENSMUSG00000062825	actin, gamma, cytoplasmic 1 [Source:MGI Symbol;Acc:MGI:87906]	Actg1
ENSMUSG00000058349	taste receptor, type 2, member 117 [Source:MGI Symbol;Acc:MGI:2681242]	Tas2r117
ENSMUSG00000097931		
ENSMUSG00000085614	RIKEN cDNA 1700123M08 gene [Source:MGI Symbol;Acc:MGI:1923915]	1700123M08Rik
ENSMUSG00000036403	centrosomal protein 135 [Source:MGI Symbol;Acc:MGI:2681869]	Cep135
ENSMUSG00000097190		
ENSMUSG00000051877	vomeronasal 2, receptor 72 [Source:MGI Symbol;Acc:MGI:3647591]	Vmn2r72
ENSMUSG00000097054		
ENSMUSG00000057381	taste receptor, type 2, member 123 [Source:MGI Symbol;Acc:MGI:2681264]	Tas2r123
ENSMUSG00000035804	insulin I [Source:MGI Symbol;Acc:MGI:96572]	Ins1
ENSMUSG00000048230	F-box protein 43 [Source:MGI Symbol;Acc:MGI:1926053]	Fbxo43
ENSMUSG00000080317	vomeronasal 2, receptor, pseudogene 94 [Source:MGI Symbol;Acc:MGI:3761346]	Vmn2r-ps94
ENSMUSG00000047562	matrix metallopeptidase 10 [Source:MGI Symbol;Acc:MGI:97007]	Mmp10
ENSMUSG00000051650	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:MGI Symbol;Acc:MGI:1889505]	B3gnt2
ENSMUSG00000033819	protein phosphatase 1, regulatory (inhibitor) subunit 16A [Source:MGI Symbol;Acc:MGI:1920312]	Ppp1r16a
ENSMUSG00000030194	taste receptor, type 2, member 116 [Source:MGI Symbol;Acc:MGI:1890258]	Tas2r116
ENSMUSG00000089642	predicted gene 16566 [Source:MGI Symbol;Acc:MGI:4414986]	Gm16566
ENSMUSG00000076749	T cell receptor gamma, constant 1 [Source:MGI Symbol;Acc:MGI:98625]	Tcrg-C1
ENSMUSG00000079644	predicted gene 1110 [Source:MGI Symbol;Acc:MGI:2685956]	Gm1110
ENSMUSG00000085457	RIKEN cDNA 1110046J04 gene [Source:MGI Symbol;Acc:MGI:1916058]	1110046J04Rik
ENSMUSG00000091682	T cell receptor gamma, constant 3 [Source:MGI Symbol;Acc:MGI:98627]	Tcrg-C3
ENSMUSG00000062952	taste receptor, type 2, member 110 [Source:MGI Symbol;Acc:MGI:2681216]	Tas2r110
ENSMUSG00000025475	G protein-coupled receptor 123 [Source:MGI Symbol;Acc:MGI:1277167]	Gpr123
ENSMUSG00000076752	T-cell receptor gamma, constant 2 [Source:MGI Symbol;Acc:MGI:98626]	Tcrg-C2
ENSMUSG00000027305	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1 [Source:MGI Symbol;Acc:MGI:1916952]	Ndufaf1
ENSMUSG00000070458	vomeronasal 2, receptor 73 [Source:MGI Symbol;Acc:MGI:3646433]	Vmn2r73
ENSMUSG00000056926	taste receptor, type 2, member 113 [Source:MGI Symbol;Acc:MGI:2681217]	Tas2r113
ENSMUSG00000047215	ribosomal protein L9 [Source:MGI Symbol;Acc:MGI:1298373]	Rpl9
ENSMUSG00000027569	MRG/MORF4L binding protein [Source:MGI Symbol;Acc:MGI:1920497]	Mrgbp
ENSMUSG00000025328	peptidyl arginine deiminase, type III [Source:MGI Symbol;Acc:MGI:1338891]	Padi3
ENSMUSG00000035697	histocompatibility (minor) HA-1 [Source:MGI Symbol;Acc:MGI:1917969]	Hmha1
ENSMUSG00000076757	T cell receptor gamma, constant 4 [Source:MGI Symbol;Acc:MGI:98628]	Tcrg-C4
ENSMUSG00000059410	taste receptor, type 2, member 125 [Source:MGI Symbol;Acc:MGI:2681269]	Tas2r125
ENSMUSG00000085027	predicted gene 11840 [Source:MGI Symbol;Acc:MGI:3651502]	Gm11840
ENSMUSG00000090121	abhydrolase domain containing 12B [Source:MGI Symbol;Acc:MGI:2685650]	Abhd12b
ENSMUSG00000003062	STARD3 N-terminal like [Source:MGI Symbol;Acc:MGI:1923455]	Stard3nl
ENSMUSG00000027722	spermatogenesis associated 5 [Source:MGI Symbol;Acc:MGI:1927170]	Spata5
ENSMUSG00000009114	RIKEN cDNA 2610028H24 gene [Source:MGI Symbol;Acc:MGI:1924214]	2610028H24Rik
ENSMUSG00000051355	COMM domain containing 1 [Source:MGI Symbol;Acc:MGI:109474]	Commd1
ENSMUSG00000063762	taste receptor, type 2, member 129 [Source:MGI Symbol;Acc:MGI:2681276]	Tas2r129
ENSMUSG00000036977	anaphase promoting complex subunit 10 [Source:MGI Symbol;Acc:MGI:1916249]	Anapc10
ENSMUSG00000036246	Gem-interacting protein [Source:MGI Symbol;Acc:MGI:1926066]	Gmip
ENSMUSG00000090774	vomeronasal 2, receptor 74 [Source:MGI Symbol;Acc:MGI:3643877]	Vmn2r74
ENSMUSG00000057691	zinc finger protein 746 [Source:MGI Symbol;Acc:MGI:1916478]	Zfp746
ENSMUSG00000021481	zinc finger protein 346 [Source:MGI Symbol;Acc:MGI:1349417]	Zfp346
ENSMUSG00000037012	hexokinase 1 [Source:MGI Symbol;Acc:MGI:96103]	Hk1
ENSMUSG00000031969	acyl-Coenzyme A dehydrogenase family, member 8 [Source:MGI Symbol;Acc:MGI:1914198]	Acad8
ENSMUSG00000057246	cDNA sequence BC051142 [Source:MGI Symbol;Acc:MGI:3039565]	BC051142
ENSMUSG00000057699	taste receptor, type 2, member 131 [Source:MGI Symbol;Acc:MGI:2681280]	Tas2r131
ENSMUSG00000002808	ependymin related protein 1 (zebrafish) [Source:MGI Symbol;Acc:MGI:2145369]	Epdr1
ENSMUSG00000062528	taste receptor, type 2, member 109 [Source:MGI Symbol;Acc:MGI:2681214]	Tas2r109
ENSMUSG00000044068	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 1 [Source:MGI Symbol;Acc:MGI:98885]	Zrsr1
ENSMUSG00000085467	predicted gene 11842 [Source:MGI Symbol;Acc:MGI:3651165]	Gm11842
ENSMUSG00000033377	palmdelphin [Source:MGI Symbol;Acc:MGI:2148896]	Palmd
ENSMUSG00000026271	G protein-coupled receptor 35 [Source:MGI Symbol;Acc:MGI:1929509]	Gpr35
ENSMUSG00000042903	forkhead box O4 [Source:MGI Symbol;Acc:MGI:1891915]	Foxo4
ENSMUSG00000090436	vomeronasal 2, receptor 75 [Source:MGI Symbol;Acc:MGI:3648311]	Vmn2r75
ENSMUSG00000025027	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble [Source:MGI Symbol;Acc:MGI:2180003]	Xpnpep1
ENSMUSG00000030196	taste receptor, type 2, member 103 [Source:MGI Symbol;Acc:MGI:1890257]	Tas2r103
ENSMUSG00000057649	bromodomain containing 9 [Source:MGI Symbol;Acc:MGI:2145317]	Brd9
ENSMUSG00000028975	peroxisomal biogenesis factor 14 [Source:MGI Symbol;Acc:MGI:1927868]	Pex14
ENSMUSG00000071147	taste receptor, type 2, member 140 [Source:MGI Symbol;Acc:MGI:2681298]	Tas2r140
ENSMUSG00000045091	aquaporin 12 [Source:MGI Symbol;Acc:MGI:2664636]	Aqp12
ENSMUSG00000045996	polymerase (RNA) II (DNA directed) polypeptide K [Source:MGI Symbol;Acc:MGI:102725]	Polr2k
ENSMUSG00000083246	predicted gene 11839 [Source:MGI Symbol;Acc:MGI:3651162]	Gm11839
ENSMUSG00000047181	sterile alpha motif domain containing 14 [Source:MGI Symbol;Acc:MGI:2384945]	Samd14
ENSMUSG00000043029	transient receptor potential cation channel, subfamily V, member 3 [Source:MGI Symbol;Acc:MGI:2181407]	Trpv3
ENSMUSG00000049401	opioid growth factor receptor [Source:MGI Symbol;Acc:MGI:1919325]	Ogfr
ENSMUSG00000091239	vomeronasal 2, receptor 76 [Source:MGI Symbol;Acc:MGI:3761332]	Vmn2r76
ENSMUSG00000090141	predicted gene 614 [Source:MGI Symbol;Acc:MGI:2685460]	Gm614
ENSMUSG00000057540	olfactory receptor 310 [Source:MGI Symbol;Acc:MGI:3030144]	Olfr310
ENSMUSG00000096463	predicted gene, 21750 [Source:MGI Symbol;Acc:MGI:5433914]	Gm21750
ENSMUSG00000021868	peptidylprolyl isomerase F (cyclophilin F) [Source:MGI Symbol;Acc:MGI:2145814]	Ppif
ENSMUSG00000051050	serine peptidase inhibitor, Kazal type 14 [Source:MGI Symbol;Acc:MGI:3646952]	Spink14
ENSMUSG00000007739	chaperonin containing Tcp1, subunit 4 (delta) [Source:MGI Symbol;Acc:MGI:104689]	Cct4
ENSMUSG00000034997	5-hydroxytryptamine (serotonin) receptor 2A [Source:MGI Symbol;Acc:MGI:109521]	Htr2a
ENSMUSG00000032123	dolichyl-phosphate (UDP-N-acetylglucosamine) acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase) [Source:MGI Symbol;Acc:MGI:1196396]	Dpagt1
ENSMUSG00000035258	ABI gene family, member 3 (NESH) binding protein [Source:MGI Symbol;Acc:MGI:2444583]	Abi3bp
ENSMUSG00000054054	olfactory receptor 309 [Source:MGI Symbol;Acc:MGI:3030143]	Olfr309
ENSMUSG00000071317	blood vessel epicardial substance [Source:MGI Symbol;Acc:MGI:1346013]	Bves
ENSMUSG00000020781	tRNA splicing endonuclease 54 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1923515]	Tsen54
ENSMUSG00000055095	serine peptidase inhibitor, Kazal type 6 [Source:MGI Symbol;Acc:MGI:3648654]	Spink6
ENSMUSG00000020514	mitochondrial ribosomal protein L22 [Source:MGI Symbol;Acc:MGI:1333794]	Mrpl22
ENSMUSG00000026193	fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566]	Fn1
ENSMUSG00000056197	RIKEN cDNA 4931417E11 gene [Source:MGI Symbol;Acc:MGI:1913990]	4931417E11Rik
ENSMUSG00000034973	dopey family member 1 [Source:MGI Symbol;Acc:MGI:1289294]	Dopey1
ENSMUSG00000080907	RIKEN cDNA 4930455H04 gene [Source:MGI Symbol;Acc:MGI:1921904]	4930455H04Rik
ENSMUSG00000033207	MAM domain containing 2 [Source:MGI Symbol;Acc:MGI:1918988]	Mamdc2
ENSMUSG00000072476	predicted pseudogene 9008 [Source:MGI Symbol;Acc:MGI:3644000]	Gm9008
ENSMUSG00000061144	serine peptidase inhibitor, Kazal type 11 [Source:MGI Symbol;Acc:MGI:1925492]	Spink12
ENSMUSG00000092463	predicted gene 20489 [Source:MGI Symbol;Acc:MGI:5141954]	Gm20489
ENSMUSG00000028009	RIKEN cDNA 1700061I17 gene [Source:MGI Symbol;Acc:MGI:1920612]	1700061I17Rik
ENSMUSG00000048878	hexamethylene bis-acetamide inducible 1 [Source:MGI Symbol;Acc:MGI:2385923]	Hexim1
ENSMUSG00000019982	myeloblastosis oncogene [Source:MGI Symbol;Acc:MGI:97249]	Myb
ENSMUSG00000030086	coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:MGI Symbol;Acc:MGI:1913348]	Chchd6
ENSMUSG00000079671	RIKEN cDNA 2610203C22 gene [Source:MGI Symbol;Acc:MGI:1919731]	2610203C22Rik
ENSMUSG00000066129	kinase non-catalytic C-lobe domain (KIND) containing 1 [Source:MGI Symbol;Acc:MGI:1923734]	Kndc1
ENSMUSG00000055538	zinc finger, CCHC domain containing 24 [Source:MGI Symbol;Acc:MGI:1919168]	Zcchc24
ENSMUSG00000037617	sperm associated antigen 1 [Source:MGI Symbol;Acc:MGI:1349387]	Spag1
ENSMUSG00000042810	KRAB-A domain containing 1 [Source:MGI Symbol;Acc:MGI:1925077]	Krba1
ENSMUSG00000063804	lin-28 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:3584032]	Lin28b
ENSMUSG00000031304	interleukin 2 receptor, gamma chain [Source:MGI Symbol;Acc:MGI:96551]	Il2rg
ENSMUSG00000069385	predicted gene 10267 [Source:MGI Symbol;Acc:MGI:3642556]	Gm10267
ENSMUSG00000005881	ERGIC and golgi 3 [Source:MGI Symbol;Acc:MGI:1913616]	Ergic3
ENSMUSG00000034848	tetratricopeptide repeat domain 21B [Source:MGI Symbol;Acc:MGI:1920918]	Ttc21b
ENSMUSG00000078853	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	Igtp
ENSMUSG00000053729	serine protease inhibitor, Kazal type-like [Source:MGI Symbol;Acc:MGI:1924674]	Spinkl
ENSMUSG00000020453	POZ (BTB) and AT hook containing zinc finger 1 [Source:MGI Symbol;Acc:MGI:1891832]	Patz1
ENSMUSG00000054498	olfactory receptor 308 [Source:MGI Symbol;Acc:MGI:3030142]	Olfr308
ENSMUSG00000025646	ATR interacting protein [Source:MGI Symbol;Acc:MGI:1925349]	Atrip
ENSMUSG00000027304	Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1309480]	Rtf1
ENSMUSG00000044667	DNA segment, Chr 3, Brigham & Women's Genetics 0562 expressed [Source:MGI Symbol;Acc:MGI:106530]	D3Bwg0562e
ENSMUSG00000020774	aspartoacylase [Source:MGI Symbol;Acc:MGI:87914]	Aspa
ENSMUSG00000043372	hexamethylene bis-acetamide inducible 2 [Source:MGI Symbol;Acc:MGI:1918309]	Hexim2
ENSMUSG00000055610	olfactory receptor 307 [Source:MGI Symbol;Acc:MGI:3030141]	Olfr307
ENSMUSG00000073573	serine peptidase inhibitor, Kazal type 11 [Source:MGI Symbol;Acc:MGI:3588289]	Spink11
ENSMUSG00000055571	olfactory receptor 305 [Source:MGI Symbol;Acc:MGI:3030139]	Olfr305
ENSMUSG00000021996	esterase D/formylglutathione hydrolase [Source:MGI Symbol;Acc:MGI:95421]	Esd
ENSMUSG00000073572	predicted gene 10542 [Source:MGI Symbol;Acc:MGI:3642604]	Gm10542
ENSMUSG00000028337	coronin, actin binding protein 2A [Source:MGI Symbol;Acc:MGI:1345966]	Coro2a
ENSMUSG00000032698	LIM domain only 2 [Source:MGI Symbol;Acc:MGI:102811]	Lmo2
ENSMUSG00000062426	olfactory receptor 304 [Source:MGI Symbol;Acc:MGI:3030138]	Olfr304
ENSMUSG00000038071	neuropeptide Y receptor Y6 [Source:MGI Symbol;Acc:MGI:1098590]	Npy6r
ENSMUSG00000051747	titin [Source:MGI Symbol;Acc:MGI:98864]	Ttn
ENSMUSG00000033053	RIKEN cDNA 1700028P14 gene [Source:MGI Symbol;Acc:MGI:1914733]	1700028P14Rik
ENSMUSG00000069874	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	Irgm2
ENSMUSG00000025825	IscU iron-sulfur cluster scaffold homolog (E. coli) [Source:MGI Symbol;Acc:MGI:1913633]	Iscu
ENSMUSG00000014602	kinesin family member 1A [Source:MGI Symbol;Acc:MGI:108391]	Kif1a
ENSMUSG00000039608	olfactory receptor 303 [Source:MGI Symbol;Acc:MGI:3030137]	Olfr303
ENSMUSG00000069873	RIKEN cDNA 4930438A08 gene [Source:MGI Symbol;Acc:MGI:1921238]	4930438A08Rik
ENSMUSG00000024471	myotilin [Source:MGI Symbol;Acc:MGI:1889800]	Myot
ENSMUSG00000027774	G elongation factor, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:107339]	Gfm1
ENSMUSG00000061549	olfactory receptor 301 [Source:MGI Symbol;Acc:MGI:3030135]	Olfr301
ENSMUSG00000058594	F-box protein 18 [Source:MGI Symbol;Acc:MGI:1354699]	Fbxo18
ENSMUSG00000044424	predicted gene 9493 [Source:MGI Symbol;Acc:MGI:3779903]	Gm9493
ENSMUSG00000051255	predicted pseudogene 6563 [Source:MGI Symbol;Acc:MGI:3646907]	Gm6563
ENSMUSG00000037243	zinc finger protein 692 [Source:MGI Symbol;Acc:MGI:2144276]	Zfp692
ENSMUSG00000090628	predicted gene 17083 [Source:MGI Symbol;Acc:MGI:4937910]	Gm17083
ENSMUSG00000074925	protein prenyltransferase alpha subunit repeat containing 1 [Source:MGI Symbol;Acc:MGI:1921875]	Ptar1
ENSMUSG00000069825	spermatogenesis associated 22 [Source:MGI Symbol;Acc:MGI:2685728]	Spata22
ENSMUSG00000058435	butyrophilin-like 4 [Source:MGI Symbol;Acc:MGI:1932036]	Btnl4
ENSMUSG00000091462	predicted gene 17084 [Source:MGI Symbol;Acc:MGI:4937911]	Gm17084
ENSMUSG00000032890	regulating synaptic membrane exocytosis 3 [Source:MGI Symbol;Acc:MGI:2443331]	Rims3
ENSMUSG00000021069	liver glycogen phosphorylase [Source:MGI Symbol;Acc:MGI:97829]	Pygl
ENSMUSG00000044468	family with sequence similarity 46, member C [Source:MGI Symbol;Acc:MGI:1921895]	Fam46c
ENSMUSG00000028999	RAD50 interactor 1 [Source:MGI Symbol;Acc:MGI:1916233]	Rint1
ENSMUSG00000020168	olfactory receptor 299 [Source:MGI Symbol;Acc:MGI:3030133]	Olfr299
ENSMUSG00000024906	MUS81 endonuclease homolog (yeast) [Source:MGI Symbol;Acc:MGI:1918961]	Mus81
ENSMUSG00000038822	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1 [Source:MGI Symbol;Acc:MGI:2446110]	Hace1
ENSMUSG00000064325	Hedgehog-interacting protein [Source:MGI Symbol;Acc:MGI:1341847]	Hhip
ENSMUSG00000062878	olfactory receptor 298 [Source:MGI Symbol;Acc:MGI:3030132]	Olfr298
ENSMUSG00000058762	butyrophilin-like 6 [Source:MGI Symbol;Acc:MGI:1932038]	Btnl6
ENSMUSG00000054178	predicted gene 9938 [Source:MGI Symbol;Acc:MGI:3641836]	Gm9938
ENSMUSG00000034224	solute carrier family 38, member 8 [Source:MGI Symbol;Acc:MGI:2685433]	Slc38a8
ENSMUSG00000040188	secretory carrier membrane protein 2 [Source:MGI Symbol;Acc:MGI:1346518]	Scamp2
ENSMUSG00000005800	matrix metallopeptidase 8 [Source:MGI Symbol;Acc:MGI:1202395]	Mmp8
ENSMUSG00000021319	secreted frizzled-related protein 4 [Source:MGI Symbol;Acc:MGI:892010]	Sfrp4
ENSMUSG00000049932	H2A histone family, member X [Source:MGI Symbol;Acc:MGI:102688]	H2afx
ENSMUSG00000024897	amyloid beta (A4) precursor protein binding, family  A, member 1 [Source:MGI Symbol;Acc:MGI:1860297]	Apba1
ENSMUSG00000021189	ataxin 3 [Source:MGI Symbol;Acc:MGI:1099442]	Atxn3
ENSMUSG00000096003	predicted gene 3500 [Source:MGI Symbol;Acc:MGI:3781677]	Gm3500
ENSMUSG00000055022	contactin 1 [Source:MGI Symbol;Acc:MGI:105980]	Cntn1
ENSMUSG00000027570	collagen, type IX, alpha 3 [Source:MGI Symbol;Acc:MGI:894686]	Col9a3
ENSMUSG00000062128	olfactory receptor 20 [Source:MGI Symbol;Acc:MGI:109315]	Olfr20
ENSMUSG00000049755	zinc finger protein 672 [Source:MGI Symbol;Acc:MGI:2442105]	Zfp672
ENSMUSG00000043644	RIKEN cDNA 0610009L18 gene [Source:MGI Symbol;Acc:MGI:1914088]	0610009L18Rik
ENSMUSG00000036892	proline dehydrogenase (oxidase) 2 [Source:MGI Symbol;Acc:MGI:1929093]	Prodh2
ENSMUSG00000072704	RIKEN cDNA 2700089E24 gene [Source:MGI Symbol;Acc:MGI:1914379]	2700089E24Rik
ENSMUSG00000032126	hydroxymethylbilane synthase [Source:MGI Symbol;Acc:MGI:96112]	Hmbs
ENSMUSG00000055594	RIKEN cDNA 5530400C23 gene [Source:MGI Symbol;Acc:MGI:1918650]	5530400C23Rik
ENSMUSG00000041138	NME/NM23 family member 8 [Source:MGI Symbol;Acc:MGI:1920662]	Nme8
ENSMUSG00000057067	olfactory receptor 297 [Source:MGI Symbol;Acc:MGI:3030131]	Olfr297
ENSMUSG00000032308	unc-51-like kinase 3 [Source:MGI Symbol;Acc:MGI:1918992]	Ulk3
ENSMUSG00000019188	histocompatibility 13 [Source:MGI Symbol;Acc:MGI:95886]	H13
ENSMUSG00000025380	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus) [Source:MGI Symbol;Acc:MGI:2443337]	Fscn2
ENSMUSG00000063881	olfactory receptor 376 [Source:MGI Symbol;Acc:MGI:3030210]	Olfr376
ENSMUSG00000081593	predicted gene 11841 [Source:MGI Symbol;Acc:MGI:3651164]	Gm11841
ENSMUSG00000059319	olfactory receptor 295 [Source:MGI Symbol;Acc:MGI:3030129]	Olfr295
ENSMUSG00000053218	predicted gene 9900 [Source:MGI Symbol;Acc:MGI:3641618]	Gm9900
ENSMUSG00000028718	Scl/Tal1 interrupting locus [Source:MGI Symbol;Acc:MGI:107477]	Stil
ENSMUSG00000047409	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like [Source:MGI Symbol;Acc:MGI:1916524]	Ctdspl
ENSMUSG00000028677	ring finger protein 220 [Source:MGI Symbol;Acc:MGI:1913993]	Rnf220
ENSMUSG00000078521	aurora kinase A and ninein interacting protein [Source:MGI Symbol;Acc:MGI:1917135]	Aunip
ENSMUSG00000095412	predicted gene 5885 [Source:MGI Symbol;Acc:MGI:3648672]	Gm5885
ENSMUSG00000022280	ring finger protein 19A [Source:MGI Symbol;Acc:MGI:1353623]	Rnf19a
ENSMUSG00000062042	olfactory receptor 294 [Source:MGI Symbol;Acc:MGI:3030128]	Olfr294
ENSMUSG00000082676	predicted gene 11843 [Source:MGI Symbol;Acc:MGI:3651166]	Gm11843
ENSMUSG00000015468	notch 4 [Source:MGI Symbol;Acc:MGI:107471]	Notch4
ENSMUSG00000032758	kidney androgen regulated protein [Source:MGI Symbol;Acc:MGI:96653]	Kap
ENSMUSG00000063394	olfactory receptor 293 [Source:MGI Symbol;Acc:MGI:3030127]	Olfr293
